date,ticker,Flow,flow_btc,flow_usd
2024-12-24 00:00:00,EZBC (Franklin Templeton),,,743920000.0
2024-12-24 00:00:00,FBTC (Fidelity),,,19751371734.0
2024-12-24 00:00:00,GBTC (Grayscale),,,20138908555.0
2024-12-24 00:00:00,HODL (VanEck),,,1336016250.0
2024-12-24 00:00:00,IBIT (BlackRock),,,53972779455.0
2024-12-24 00:00:00,TOTAL,,,110229093132.0
2024-12-26 00:00:00,ARKB (Ark 21Shares),,,4605125190.0
2024-12-26 00:00:00,BITB (Bitwise),,,3908302101.0
2024-12-26 00:00:00,BRRR (Valkyrie),,,866561431.0
2024-12-26 00:00:00,BTC (Grayscale Mini),,,3653525281.0
2024-12-26 00:00:00,BTCO (Invesco Galaxy),,,758200000.0
2024-12-26 00:00:00,BTCW (WisdomTree),,,368994460.0
2024-12-26 00:00:00,DEFI (Hashdex),,,15200000.0
2024-12-26 00:00:00,EZBC (Franklin Templeton),,,728250000.0
2024-12-26 00:00:00,FBTC (Fidelity),,,19568179804.0
2024-12-26 00:00:00,GBTC (Grayscale),,,19766953736.0
2024-12-26 00:00:00,HODL (VanEck),,,1307926945.0
2024-12-26 00:00:00,IBIT (BlackRock),,,52651039956.0
2024-12-26 00:00:00,TOTAL,,,108198258904.0
2024-12-27 00:00:00,ARKB (Ark 21Shares),,,4436692802.0
2024-12-27 00:00:00,BITB (Bitwise),,,3824925642.0
2024-12-27 00:00:00,BRRR (Valkyrie),,,856052391.0
2024-12-27 00:00:00,BTC (Grayscale Mini),,,3622126390.0
2024-12-27 00:00:00,BTCO (Invesco Galaxy),,,750000000.0
2024-12-27 00:00:00,BTCW (WisdomTree),,,364518710.0
2024-12-27 00:00:00,DEFI (Hashdex),,,15000000.0
2024-12-27 00:00:00,EZBC (Franklin Templeton),,,719410000.0
2024-12-27 00:00:00,FBTC (Fidelity),,,19138160337.0
2024-12-27 00:00:00,GBTC (Grayscale),,,19533874165.0
2024-12-27 00:00:00,HODL (VanEck),,,1294612134.0
2024-12-27 00:00:00,IBIT (BlackRock),,,52068254493.0
2024-12-27 00:00:00,TOTAL,,,106623627064.0
2024-12-30 00:00:00,ARKB (Ark 21Shares),,,4413286648.0
2024-12-30 00:00:00,BITB (Bitwise),,,3796134954.0
2024-12-30 00:00:00,BRRR (Valkyrie),,,835579800.0
2024-12-30 00:00:00,BTC (Grayscale Mini),,,3612623237.0
2024-12-30 00:00:00,BTCO (Invesco Galaxy),,,734100000.0
2024-12-30 00:00:00,BTCW (WisdomTree),,,364761340.0
2024-12-30 00:00:00,DEFI (Hashdex),,,14970000.0
2024-12-30 00:00:00,EZBC (Franklin Templeton),,,719831000.0
2024-12-30 00:00:00,FBTC (Fidelity),,,18987919683.0
2024-12-30 00:00:00,GBTC (Grayscale),,,19484205023.0
2024-12-30 00:00:00,HODL (VanEck),,,1295677500.0
2024-12-30 00:00:00,IBIT (BlackRock),,,52182456515.0
2024-12-30 00:00:00,TOTAL,,,106441545700.0
2024-12-31 00:00:00,ARKB (Ark 21Shares),,,4368092188.0
2024-12-31 00:00:00,BITB (Bitwise),,,3775589028.0
2024-12-31 00:00:00,BRRR (Valkyrie),,,829204986.0
2024-12-31 00:00:00,BTC (Grayscale Mini),,,3550934295.0
2024-12-31 00:00:00,BTCO (Invesco Galaxy),,,727600000.0
2024-12-31 00:00:00,BTCW (WisdomTree),,,361952860.0
2024-12-31 00:00:00,DEFI (Hashdex),,,14840000.0
2024-12-31 00:00:00,EZBC (Franklin Templeton),,,714350000.0
2024-12-31 00:00:00,FBTC (Fidelity),,,18870281787.0
2024-12-31 00:00:00,GBTC (Grayscale),,,19187108495.0
2024-12-31 00:00:00,HODL (VanEck),,,1285679050.0
2024-12-31 00:00:00,IBIT (BlackRock),,,51744461501.0
2024-12-31 00:00:00,TOTAL,,,105430094190.0
2025-01-02 00:00:00,ARKB (Ark 21Shares),,,4559946600.0
2025-01-02 00:00:00,BITB (Bitwise),,,3975910100.0
2025-01-02 00:00:00,BRRR (Valkyrie),,,862463400.0
2025-01-02 00:00:00,BTC (Grayscale Mini),,,3707031106.0
2025-01-02 00:00:00,BTCO (Invesco Galaxy),,,757380000.0
2025-01-02 00:00:00,BTCW (WisdomTree),,,376485200.0
2025-01-02 00:00:00,DEFI (Hashdex),,,15490000.0
2025-01-02 00:00:00,EZBC (Franklin Templeton),,,743060000.0
2025-01-02 00:00:00,FBTC (Fidelity),,,19686065845.0
2025-01-02 00:00:00,GBTC (Grayscale),,,19937070112.0
2025-01-02 00:00:00,HODL (VanEck),,,1337266250.0
2025-01-02 00:00:00,IBIT (BlackRock),,,53468553600.0
2025-01-02 00:00:00,TOTAL,,,109426722213.0
2025-01-03 00:00:00,ARKB (Ark 21Shares),,,4828600906.0
2025-01-03 00:00:00,BITB (Bitwise),,,4076681947.0
2025-01-03 00:00:00,BRRR (Valkyrie),,,871191870.0
2025-01-03 00:00:00,BTC (Grayscale Mini),,,3748277713.0
2025-01-03 00:00:00,BTCO (Invesco Galaxy),,,765600000.0
2025-01-03 00:00:00,BTCW (WisdomTree),,,380282830.0
2025-01-03 00:00:00,DEFI (Hashdex),,,15650000.0
2025-01-03 00:00:00,EZBC (Franklin Templeton),,,750540000.0
2025-01-03 00:00:00,FBTC (Fidelity),,,20234860325.0
2025-01-03 00:00:00,GBTC (Grayscale),,,20156455933.0
2025-01-03 00:00:00,HODL (VanEck),,,1356375368.0
2025-01-03 00:00:00,IBIT (BlackRock),,,54004555868.0
2025-01-03 00:00:00,TOTAL,,,111189072760.0
2025-01-06 00:00:00,ARKB (Ark 21Shares),,,5008293750.0
2025-01-06 00:00:00,BITB (Bitwise),,,4299526309.0
2025-01-06 00:00:00,BRRR (Valkyrie),,,909223552.0
2025-01-06 00:00:00,BTC (Grayscale Mini),,,3907896776.0
2025-01-06 00:00:00,BTCO (Invesco Galaxy),,,796200000.0
2025-01-06 00:00:00,BTCW (WisdomTree),,,394424160.0
2025-01-06 00:00:00,DEFI (Hashdex),,,16280000.0
2025-01-06 00:00:00,EZBC (Franklin Templeton),,,778470000.0
2025-01-06 00:00:00,FBTC (Fidelity),,,21358379714.0
2025-01-06 00:00:00,GBTC (Grayscale),,,20963743371.0
2025-01-06 00:00:00,HODL (VanEck),,,1412731508.0
2025-01-06 00:00:00,IBIT (BlackRock),,,56275743731.0
2025-01-06 00:00:00,TOTAL,,,116120912871.0
2025-01-07 00:00:00,ARKB (Ark 21Shares),,,4656346438.0
2025-01-07 00:00:00,BITB (Bitwise),,,4056455700.0
2025-01-07 00:00:00,BRRR (Valkyrie),,,865650073.0
2025-01-07 00:00:00,BTC (Grayscale Mini),,,3757295918.0
2025-01-07 00:00:00,BTCO (Invesco Galaxy),,,751400000.0
2025-01-07 00:00:00,BTCW (WisdomTree),,,372080800.0
2025-01-07 00:00:00,DEFI (Hashdex),,,15290000.0
2025-01-07 00:00:00,EZBC (Franklin Templeton),,,742750000.0
2025-01-07 00:00:00,FBTC (Fidelity),,,20067211062.0
2025-01-07 00:00:00,GBTC (Grayscale),,,19843808349.0
2025-01-07 00:00:00,HODL (VanEck),,,1348998750.0
2025-01-07 00:00:00,IBIT (BlackRock),,,53286562400.0
2025-01-07 00:00:00,TOTAL,,,109763849490.0
2025-01-08 00:00:00,ARKB (Ark 21Shares),,,4395790255.0
2025-01-08 00:00:00,BITB (Bitwise),,,3835899139.0
2025-01-08 00:00:00,BRRR (Valkyrie),,,842260362.0
2025-01-08 00:00:00,BTC (Grayscale Mini),,,3658640161.0
2025-01-08 00:00:00,BTCO (Invesco Galaxy),,,731900000.0
2025-01-08 00:00:00,BTCW (WisdomTree),,,363122660.0
2025-01-08 00:00:00,DEFI (Hashdex),,,14900000.0
2025-01-08 00:00:00,EZBC (Franklin Templeton),,,719390000.0
2025-01-08 00:00:00,FBTC (Fidelity),,,19576431113.0
2025-01-08 00:00:00,GBTC (Grayscale),,,19200129568.0
2025-01-08 00:00:00,HODL (VanEck),,,1316593866.0
2025-01-08 00:00:00,IBIT (BlackRock),,,52583406375.0
2025-01-08 00:00:00,TOTAL,,,107238463499.0
2025-01-10 00:00:00,ARKB (Ark 21Shares),,,4444279948.0
2025-01-10 00:00:00,BITB (Bitwise),,,3871702724.0
2025-01-10 00:00:00,BRRR (Valkyrie),,,828156160.0
2025-01-10 00:00:00,BTC (Grayscale Mini),,,3687637459.0
2025-01-10 00:00:00,BTCO (Invesco Galaxy),,,728000000.0
2025-01-10 00:00:00,BTCW (WisdomTree),,,366655860.0
2025-01-10 00:00:00,DEFI (Hashdex),,,15060000.0
2025-01-10 00:00:00,EZBC (Franklin Templeton),,,718140000.0
2025-01-10 00:00:00,FBTC (Fidelity),,,19500085555.0
2025-01-10 00:00:00,GBTC (Grayscale),,,19341864486.0
2025-01-10 00:00:00,HODL (VanEck),,,1329346846.0
2025-01-10 00:00:00,IBIT (BlackRock),,,52969822013.0
2025-01-10 00:00:00,TOTAL,,,107800751051.0
2025-01-13 00:00:00,ARKB (Ark 21Shares),,,4238903613.0
2025-01-13 00:00:00,BITB (Bitwise),,,3754599988.0
2025-01-13 00:00:00,BRRR (Valkyrie),,,836213580.0
2025-01-13 00:00:00,BTC (Grayscale Mini),,,3644280312.0
2025-01-13 00:00:00,BTCO (Invesco Galaxy),,,719400000.0
2025-01-13 00:00:00,BTCW (WisdomTree),,,357326210.0
2025-01-13 00:00:00,DEFI (Hashdex),,,14870000.0
2025-01-13 00:00:00,EZBC (Franklin Templeton),,,699870000.0
2025-01-13 00:00:00,FBTC (Fidelity),,,18996943279.0
2025-01-13 00:00:00,GBTC (Grayscale),,,19125685330.0
2025-01-13 00:00:00,HODL (VanEck),,,1295451177.0
2025-01-13 00:00:00,IBIT (BlackRock),,,51443054967.0
2025-01-13 00:00:00,TOTAL,,,105126598456.0
2025-01-14 00:00:00,ARKB (Ark 21Shares),,,4423391081.0
2025-01-14 00:00:00,BITB (Bitwise),,,3915280800.0
2025-01-14 00:00:00,BRRR (Valkyrie),,,849848712.0
2025-01-14 00:00:00,BTC (Grayscale Mini),,,3759053718.0
2025-01-14 00:00:00,BTCO (Invesco Galaxy),,,741800000.0
2025-01-14 00:00:00,BTCW (WisdomTree),,,372626800.0
2025-01-14 00:00:00,DEFI (Hashdex),,,15350000.0
2025-01-14 00:00:00,EZBC (Franklin Templeton),,,729860000.0
2025-01-14 00:00:00,FBTC (Fidelity),,,19722953493.0
2025-01-14 00:00:00,GBTC (Grayscale),,,19633732650.0
2025-01-14 00:00:00,HODL (VanEck),,,1351226250.0
2025-01-14 00:00:00,IBIT (BlackRock),,,53678223600.0
2025-01-14 00:00:00,TOTAL,,,109193347104.0
2025-01-15 00:00:00,ARKB (Ark 21Shares),,,4725080489.0
2025-01-15 00:00:00,BITB (Bitwise),,,4083075569.0
2025-01-15 00:00:00,BRRR (Valkyrie),,,881140855.0
2025-01-15 00:00:00,BTC (Grayscale Mini),,,3880120789.0
2025-01-15 00:00:00,BTCO (Invesco Galaxy),,,765700000.0
2025-01-15 00:00:00,BTCW (WisdomTree),,,396971870.0
2025-01-15 00:00:00,DEFI (Hashdex),,,15850000.0
2025-01-15 00:00:00,EZBC (Franklin Templeton),,,756740000.0
2025-01-15 00:00:00,FBTC (Fidelity),,,20910907783.0
2025-01-15 00:00:00,GBTC (Grayscale),,,20267140765.0
2025-01-15 00:00:00,HODL (VanEck),,,1406399428.0
2025-01-15 00:00:00,IBIT (BlackRock),,,55426887715.0
2025-01-15 00:00:00,TOTAL,,,113516015263.0
